step,disp_mm,base_shear_N,percent
1,1.000000,29791.025551,0.167
2,2.000000,59365.865927,0.333
3,3.000000,87155.980102,0.500
4,4.000000,110802.067390,0.667
5,5.000000,132090.471520,0.833
6,6.000000,152094.107081,1.000
7,7.000000,171285.142465,1.167
8,8.000000,189966.339108,1.333
9,9.000000,208252.046265,1.500
10,10.000000,226219.097995,1.667
11,11.000000,243901.121052,1.833
12,12.000000,261362.685354,2.000
13,13.000000,278603.802506,2.167
14,14.000000,295651.634847,2.333
15,15.000000,312540.183142,2.500
16,16.000000,329295.750304,2.667
17,17.000000,345904.445368,2.833
18,18.000000,361842.509248,3.000
19,19.000000,373623.572118,3.167
20,20.000000,384737.988472,3.333
21,21.000000,395539.208213,3.500
22,22.000000,405988.483356,3.667
23,23.000000,414834.224585,3.833
24,24.000000,421778.275112,4.000
25,25.000000,427899.596125,4.167
26,26.000000,433527.452659,4.333
27,27.000000,438712.856754,4.500
28,28.000000,443451.855918,4.667
29,29.000000,446599.403215,4.833
30,30.000000,448985.764516,5.000
31,31.000000,450280.164854,5.167
32,32.000000,451018.963959,5.333
33,33.000000,451246.171239,5.500
34,34.000000,450839.527732,5.667
35,35.000000,450858.391222,5.833
36,36.000000,451424.116792,6.000
37,37.000000,452780.061525,6.167
38,38.000000,454796.771509,6.333
39,39.000000,457101.455657,6.500
40,40.000000,459605.972930,6.667
41,41.000000,462187.844860,6.833
42,42.000000,464882.268400,7.000
43,43.000000,467550.604508,7.167
44,44.000000,470161.692826,7.333
45,45.000000,472787.497859,7.500
46,46.000000,475416.241423,7.667
47,47.000000,478085.870300,7.833
48,48.000000,480728.045613,8.000
49,49.000000,483308.959300,8.167
50,50.000000,485804.240079,8.333
51,51.000000,488269.982314,8.500
52,52.000000,490702.746897,8.667
53,53.000000,493131.332679,8.833
54,54.000000,495633.382316,9.000
55,55.000000,498084.205761,9.167
56,56.000000,500564.643338,9.333
57,57.000000,503014.677713,9.500
58,58.000000,505468.341085,9.667
59,59.000000,507979.383779,9.833
60,60.000000,510209.522166,10.000
61,61.000000,512317.596834,10.167
62,62.000000,514380.116634,10.333
63,63.000000,516360.181204,10.500
64,64.000000,518454.662415,10.667
65,65.000000,520613.240649,10.833
66,66.000000,522677.109630,11.000
67,67.000000,524627.075763,11.167
68,68.000000,526552.641928,11.333
69,69.000000,528419.153494,11.500
70,70.000000,530215.128356,11.667
71,71.000000,531838.587904,11.833
72,72.000000,533314.155975,12.000
73,73.000000,534633.409232,12.167
74,74.000000,535630.959026,12.333
75,75.000000,536503.756925,12.500
76,76.000000,537239.016251,12.667
77,77.000000,537794.536354,12.833
78,78.000000,538243.038401,13.000
79,79.000000,537663.966529,13.167
80,80.000000,536481.168389,13.333
81,81.000000,534890.804484,13.500
82,82.000000,531358.136833,13.667
83,83.000000,527643.959125,13.833
84,84.000000,526621.281849,14.000
85,85.000000,525968.689453,14.167
86,86.000000,525438.019674,14.333
87,87.000000,524908.812167,14.500
88,88.000000,524303.354494,14.667
89,89.000000,523519.721384,14.833
90,90.000000,522151.484158,15.000
91,91.000000,512626.150892,15.167
92,92.000000,512438.688223,15.333
93,93.000000,512405.306247,15.500
94,94.000000,511506.393107,15.667
95,95.000000,510683.462642,15.833
96,96.000000,509845.644823,16.000
97,97.000000,508987.293652,16.167
98,98.000000,508105.712549,16.333
99,99.000000,507192.682779,16.500
100,100.000000,506318.874413,16.667
101,101.000000,505437.785515,16.833
102,102.000000,504519.558551,17.000
103,103.000000,503633.413861,17.167
104,104.000000,502750.144244,17.333
105,105.000000,501855.315320,17.500
106,106.000000,500963.022579,17.667
107,107.000000,500105.968875,17.833
108,108.000000,499261.060264,18.000
109,109.000000,498405.529798,18.167
110,110.000000,497537.957970,18.333
111,111.000000,496656.555577,18.500
112,112.000000,495762.526169,18.667
113,113.000000,494959.375499,18.833
114,114.000000,494150.150355,19.000
115,115.000000,493326.013464,19.167
116,116.000000,492477.875274,19.333
117,117.000000,491617.737557,19.500
118,118.000000,490806.667351,19.667
119,119.000000,490084.335123,19.833
120,120.000000,489417.459584,20.000
121,121.000000,488738.474789,20.167
122,122.000000,488056.285918,20.333
123,123.000000,487394.593722,20.500
124,124.000000,486726.635056,20.667
125,125.000000,486054.948959,20.833
126,126.000000,485380.166230,21.000
127,127.000000,484708.321326,21.167
128,128.000000,484071.384331,21.333
129,129.000000,483465.400980,21.500
130,130.000000,482871.544431,21.667
131,131.000000,482276.251310,21.833
132,132.000000,481678.762058,22.000
133,133.000000,481078.889108,22.167
134,134.000000,480476.415591,22.333
135,135.000000,479871.087570,22.500
136,136.000000,479262.603195,22.667
137,137.000000,478658.623464,22.833
138,138.000000,478054.075995,23.000
139,139.000000,477444.907042,23.167
140,140.000000,476829.977892,23.333
141,141.000000,476218.094027,23.500
142,142.000000,475647.624745,23.667
143,143.000000,475105.782643,23.833
144,144.000000,474569.083775,24.000
145,145.000000,474042.738913,24.167
146,146.000000,473515.636087,24.333
147,147.000000,472987.708253,24.500
148,148.000000,472458.880376,24.667
